# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless]
-7.262268875534814150e+00 9.957580987352239177e-01 6.950151755614465644e-04
-7.261788184272573332e+00 1.045904070436831867e+00 8.301062862541204457e-02
-7.261735087093167174e+00 1.004469217711974727e+00 7.032377113668367152e-02
-7.261734453601381922e+00 1.040341723370608706e+00 8.216993783923595696e-02
-7.261720543301268371e+00 9.340663348453570602e-01 6.467962314146009613e-04
-7.261720542929835709e+00 9.488041279827705843e-01 6.469607214176176192e-04
-7.261720520871414841e+00 9.638887718451164544e-01 6.467008063147561183e-04
-7.261720499594849443e+00 9.748665464123381641e-01 6.471721254565344873e-04
-7.261716604790267482e+00 9.614879067127449774e-01 1.053571231634324893e-03
-7.261716600278479206e+00 9.644106764402047283e-01 1.053581181081198045e-03
-7.261716472003050704e+00 9.671406450312116654e-01 1.053670146749089700e-03
-7.261716217672193885e+00 9.723284298440101336e-01 1.053718525572440532e-03
-7.261333595303766764e+00 1.164528188124894337e+00 9.191407042021389152e-04
-7.261333593430270739e+00 1.156242121147914803e+00 9.191166266931951549e-04
-7.261333480073078661e+00 1.136379619176517641e+00 9.189346876833503087e-04
-7.261333372907276207e+00 1.117276381461837165e+00 9.187579082624275882e-04
-7.261150846429525352e+00 9.984944045387140754e-01 4.952021104005428082e-02
-7.260863993305190611e+00 1.086670819591549764e+00 5.385486495217563230e-02
-7.260582163964334868e+00 1.013412049003171056e+00 7.534682685983358497e-02
-7.260214209006165653e+00 1.031004583125942009e+00 6.138948716960297008e-02
-7.260213944048238943e+00 9.838508473775425811e-01 5.775656452848199063e-02
-7.260210377421488559e+00 9.809667856185501078e-01 5.751874709543369074e-02
-7.260043846167736348e+00 1.082288836079564609e+00 5.360090587678287971e-02
-7.260033624325139989e+00 9.936302740264963962e-01 4.937171583777837103e-02
-7.260028316308255292e+00 1.083470502760785603e+00 5.362416336225753893e-02
-7.259785893747885410e+00 1.046338678963230517e+00 8.284426557652342649e-02
-7.259670753461468173e+00 9.805034580496247987e-01 5.762875525906472479e-02
-7.259623608676185391e+00 1.065610350085839819e+00 6.458767956690605883e-02
-7.259614491515012702e+00 9.757706379947234110e-01 5.714604255337954464e-02
-7.258625071890254077e+00 1.014399474296751480e+00 5.014520380617844969e-02
-7.258613940222673477e+00 9.935233158837630807e-01 4.934905146095493883e-02
-7.258610881077872001e+00 9.754610384947777213e-01 5.740089663267835401e-02
-7.258479544923297055e+00 1.016330783730926779e+00 7.539565976147016846e-02
-7.258439457835170749e+00 9.789697622967638013e-01 5.726497456067455860e-02
-7.258329411544806042e+00 9.859465352232692492e-01 8.370951937428909194e-04
-7.258329409170776181e+00 9.911544844607248494e-01 8.371980311532052762e-04
-7.258329345023096124e+00 1.011277700508634858e+00 8.373757177768736482e-04
-7.258329213132220126e+00 9.808323593304221211e-01 8.370776857721242900e-04
-7.258141204788242540e+00 9.653568693285999869e-01 7.249145547864524475e-02
-7.258061601249949923e+00 9.601941578558677026e-01 7.194126550536794618e-02
-7.257890928825422527e+00 1.039303536109679404e+00 5.158235695740889110e-02
-7.257890928181158330e+00 9.922995532803973173e-01 4.930419210622806470e-02
-7.257768084205887149e+00 9.222026035815373834e-01 1.203496072791770521e-03
-7.257596819812151878e+00 9.916656517431566842e-01 6.572551657446203122e-02
-7.257596817543715773e+00 9.915577818923365649e-01 6.564522442813919278e-02
-7.256970313703323683e+00 9.804165922455158055e-01 5.776107501510134579e-02
-7.256730124535203608e+00 9.651230482697001900e-01 5.638801222165878979e-02
-7.256690688869380956e+00 1.016587799524099500e+00 5.028316258326528954e-02
-7.256652633856981893e+00 9.802860049486652461e-01 4.877210576008168819e-02
-7.256298470557205782e+00 1.015991343489892840e+00 7.471475055942441990e-02
-7.256298469090309844e+00 1.018166644714857849e+00 7.471328427795727312e-02
-7.256234170813066875e+00 1.030945256319739212e+00 7.548849801779305979e-02
-7.256124222510151434e+00 1.014364468863922175e+00 7.069076044924037239e-02
-7.256123064623396068e+00 1.026213237455246619e+00 1.012223037955662297e-03
-7.256122887868031057e+00 1.023157018788833250e+00 1.012307453000736148e-03
-7.256122886156565421e+00 1.023936082337749243e+00 1.012374929075324833e-03
-7.256122882927688700e+00 1.035905227280674357e+00 1.012409238066787776e-03
-7.255862304639962623e+00 9.769136600211171251e-01 6.331511647234579210e-02
-7.255670255931335078e+00 9.314685733877451357e-01 1.217775018687218590e-03
-7.255623125813418284e+00 9.960947596676414939e-01 6.959114580142808110e-04
-7.255623122193948227e+00 1.019682953177304396e+00 6.957722682039505771e-04
-7.255623025930521663e+00 9.737516629319092898e-01 6.952527916975942456e-04
-7.255622929658889220e+00 9.924344354969163451e-01 6.959067564695413464e-04
-7.255569187731980563e+00 9.343931470919482063e-01 1.217879714225131131e-03
-7.255468003206674510e+00 9.374767441097767717e-01 1.217974391861252137e-03
-7.255359291563708624e+00 1.055897410186161345e+00 8.400743600558359392e-02
-7.255349650433274178e+00 1.071477699402487493e+00 6.486652833492288772e-02
-7.255293902176395804e+00 1.039949316925866230e+00 8.293983659648314355e-02
-7.254866343690829389e+00 9.896191481668833445e-01 6.466791070131783139e-04
-7.254866302789499066e+00 9.770560595862536335e-01 6.465973781064719705e-04
-7.254866259471157264e+00 9.622018305906897551e-01 6.464428331994692732e-04
-7.254702722233577816e+00 9.904812641848040888e-01 5.842318438837926231e-02
-7.254462609092636960e+00 9.775495067315648212e-01 5.704541139616985113e-02
-7.254170027623655592e+00 9.855648315961957895e-01 4.869283447766233064e-02
-7.254135139910601104e+00 9.655719711506439706e-01 4.799983218757093717e-02
-7.253914254099306902e+00 1.010201165239225096e+00 7.445023572759057462e-02
-7.253874384911664919e+00 1.009642828781628143e+00 1.299411685008917310e-03
-7.253681038332168818e+00 9.996914723882061038e-01 1.299211675034798010e-03
-7.253143451618263349e+00 9.563303557516291686e-01 8.130310011879146505e-04
-7.253143427808783628e+00 9.178724958085922037e-01 8.126637385791740924e-04
-7.252937905510159489e+00 1.046021163406987586e+00 8.362728791579047971e-02
-7.252738726407260472e+00 8.821085746315167064e-01 7.842944754185416072e-04
-7.252738724137074655e+00 8.629401001305977426e-01 7.840781936745975286e-04
-7.252738682664919168e+00 8.749084266584088443e-01 7.842544071923371026e-04
-7.252738641890068116e+00 8.717853247237955516e-01 7.841894665473299808e-04
-7.251752634195208103e+00 9.300990820539355441e-01 1.217730876679379900e-03
