# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless]
-7.271393794106947972e+00 9.818197827325223503e-01 6.932012653278292469e-02
-7.271393792811310597e+00 9.801551126341855324e-01 6.906732472540921819e-02
-7.271341229466460554e+00 1.071554263313215793e+00 6.410733715436198188e-02
-7.271340051155838147e+00 8.951424797289930790e-01 5.947799129091051185e-02
-7.271336345672739121e+00 9.914625340530238695e-01 7.488516878479097028e-02
-7.271060851663561309e+00 1.051943644064132988e+00 6.338368829086891976e-02
-7.270596729923183510e+00 9.622037263273258700e-01 6.257263989681269289e-02
-7.270100344526980507e+00 1.151221776389488305e+00 9.882956485706533012e-02
-7.270100342804676430e+00 1.141693585640102038e+00 9.745500833262123186e-02
-7.270100249009252558e+00 1.114281118845481089e+00 9.538635116173298234e-02
-7.270100065539195633e+00 1.154277661164852642e+00 9.937621312325109479e-02
-7.269628590079462604e+00 1.040561058128365080e+00 8.179223857078947446e-02
-7.269406701510396474e+00 1.056535102702125695e+00 6.305907088922624304e-02
-7.269375851655315302e+00 1.055917403699762502e+00 6.309731976076261850e-02
-7.269195178407728442e+00 9.900235577321558900e-01 6.953395474911203133e-02
-7.269028649394594588e+00 1.019339798683108533e+00 7.612563246167103337e-02
-7.268803019920270891e+00 9.368833579757599450e-01 1.067443970848580143e-01
-7.268803018519085946e+00 9.266089711085203628e-01 1.052711929651808515e-01
-7.268802982740640850e+00 9.611769498424123093e-01 1.098268189469739226e-01
-7.268802946190079162e+00 9.645829039114954817e-01 1.105323669547435272e-01
-7.268691620074501536e+00 9.314275521194288476e-01 1.052122095674238450e-01
-7.268691585196061844e+00 9.126471687692411239e-01 1.033876496352226781e-01
-7.268691567757813665e+00 9.621847742663851566e-01 1.080627391353366773e-01
-7.268691567429867106e+00 9.617272556631071279e-01 1.083226627495938316e-01
-7.268471498362108818e+00 9.792356394723370494e-01 7.303873182147913035e-02
-7.268319756735228232e+00 1.066612002476206245e+00 8.343837637672131546e-02
-7.268081763222743241e+00 1.066420090550917799e+00 1.247194720078130259e-01
-7.268081621052605357e+00 1.077380533328200940e+00 1.263883061816632181e-01
-7.268081551267726148e+00 1.063374925521156866e+00 1.251276176633880632e-01
-7.267787598255197601e+00 9.942737277798058271e-01 7.924341896302648791e-02
-7.267787498218766018e+00 1.048061263595629677e+00 8.304931536608882447e-02
-7.267787497340514768e+00 1.027269867952335547e+00 8.161750927377880993e-02
-7.267787496484985788e+00 1.025265042246128022e+00 8.102924870392962109e-02
-7.267606536302465337e+00 1.020240507595778334e+00 7.602311538905807964e-02
-7.266912573470105663e+00 1.068595898440274361e+00 8.339423107322421758e-02
-7.266870418949324950e+00 1.042999152344831648e+00 8.178730654273330680e-02
-7.266662447009049508e+00 1.039605790663772344e+00 1.205006377997744488e-01
-7.266662393198266123e+00 1.032335820502866541e+00 1.189757348650440222e-01
-7.266662390105173230e+00 1.023627016027935488e+00 1.176348584646125933e-01
-7.266662334282739444e+00 1.011608200266997715e+00 1.169208850381576598e-01
-7.266566724594179405e+00 9.927336024190230868e-01 6.730801100888415822e-02
-7.266521721842664761e+00 1.077107069661364713e+00 6.505302333276306859e-02
-7.266481982832977415e+00 1.072970649402740007e+00 6.488010353912337935e-02
-7.266380298992483056e+00 1.004010248460301735e+00 7.038439078638994428e-02
-7.266329971059569459e+00 9.360178695301102358e-01 1.042192467142392526e-01
-7.266329968707716525e+00 9.277625034545703420e-01 1.030025758233916316e-01
-7.266329966399061036e+00 9.580413324503131989e-01 1.072880110042210150e-01
-7.266329964089756288e+00 9.587093672387767551e-01 1.070538891083564897e-01
-7.266228419896579638e+00 9.992524307027436103e-01 6.490832203306465265e-02
-7.266228418811065737e+00 9.781339913816109455e-01 6.346558514813857577e-02
-7.266122788671791177e+00 1.023869561815174967e+00 7.663534819757963912e-02
-7.266031096501840203e+00 9.696019854748838540e-01 7.314281760148311218e-02
-7.266016300879346801e+00 1.002466074867904178e+00 1.402632233207430634e-01
-7.264359297039056251e+00 1.000520897297793921e+00 7.389782878200840122e-02
-7.264294722874251597e+00 1.016163511199526193e+00 7.103153732030995093e-02
-7.263796487023205906e+00 1.044621635328299325e+00 6.227415822470351581e-02
-7.263600659695040207e+00 1.045202508359340365e+00 8.235493485766326449e-02
-7.263150955433061995e+00 8.751132556195421186e-01 1.078108806259842345e-01
-7.263150863898340859e+00 8.646208994706847673e-01 1.073725619135789955e-01
-7.263150860531628616e+00 8.642677891919784416e-01 1.070442965243122435e-01
-7.263150765640705053e+00 8.738895356600455688e-01 1.079478902213784203e-01
-7.262646753672941102e+00 9.955497027319624159e-01 7.369202481622895429e-02
-7.262528475760866797e+00 9.139719838875782765e-01 6.073092007096070333e-02
-7.262268952123831944e+00 1.069295560193998185e+00 1.253640234504878603e-01
-7.262268950835117032e+00 1.014477241088432402e+00 1.182613135055649856e-01
-7.262268947952740916e+00 1.051738410755302722e+00 1.222555127367938588e-01
-7.262268875534814150e+00 1.009723559105556667e+00 1.180432536143674882e-01
-7.261788184272573332e+00 1.045904070436831867e+00 8.301062862541204457e-02
-7.261735087093167174e+00 1.004469217711974727e+00 7.032377113668367152e-02
-7.261734453601381922e+00 1.040341723370608706e+00 8.216993783923595696e-02
-7.261720543301268371e+00 9.358926400727083372e-01 1.033069714396071259e-01
-7.261720542929835709e+00 9.505422726835045522e-01 1.046213095242729541e-01
-7.261720520871414841e+00 9.658922559416847076e-01 1.069266185948872794e-01
-7.261720499594849443e+00 9.765322749676306202e-01 1.071715913670456544e-01
-7.261716604790267482e+00 9.807137531607428294e-01 1.311669498640076759e-01
-7.261716600278479206e+00 9.838571695499006564e-01 1.319708720001590563e-01
-7.261716472003050704e+00 9.863182890691774007e-01 1.315357690167154592e-01
-7.261716217672193885e+00 9.914469552060264368e-01 1.318376466048315487e-01
-7.261333595303766764e+00 1.179826253856848917e+00 1.018664095210421588e-01
-7.261333593430270739e+00 1.171457682392779365e+00 1.014339181410234825e-01
-7.261333480073078661e+00 1.151385523541511136e+00 1.002689833646633472e-01
-7.261333372907276207e+00 1.132004602411169625e+00 9.829912925250411382e-02
-7.261150846429525352e+00 9.984944045387140754e-01 4.952021104005428082e-02
-7.260863993305190611e+00 1.086670819591549764e+00 5.385486495217563230e-02
-7.260582163964334868e+00 1.013412049003171056e+00 7.534682685983358497e-02
-7.260214209006165653e+00 1.031004583125942009e+00 6.138948716960297008e-02
-7.260213944048238943e+00 9.838508473775425811e-01 5.775656452848199063e-02
-7.260210377421488559e+00 9.809667856185501078e-01 5.751874709543369074e-02
-7.260043846167736348e+00 1.082288836079564609e+00 5.360090587678287971e-02
-7.260033624325139989e+00 9.936302740264963962e-01 4.937171583777837103e-02
-7.260028316308255292e+00 1.083470502760785603e+00 5.362416336225753893e-02
-7.259785893747885410e+00 1.046338678963230517e+00 8.284426557652342649e-02
-7.259670753461468173e+00 9.805034580496247987e-01 5.762875525906472479e-02
-7.259623608676185391e+00 1.065610350085839819e+00 6.458767956690605883e-02
-7.259614491515012702e+00 9.757706379947234110e-01 5.714604255337954464e-02
-7.258625071890254077e+00 1.014399474296751480e+00 5.014520380617844969e-02
-7.258613940222673477e+00 9.935233158837630807e-01 4.934905146095493883e-02
-7.258610881077872001e+00 9.754610384947777213e-01 5.740089663267835401e-02
-7.258479544923297055e+00 1.016330783730926779e+00 7.539565976147016846e-02
-7.258439457835170749e+00 9.789697622967638013e-01 5.726497456067455860e-02
-7.258329411544806042e+00 9.861549949146440897e-01 7.712963218381670150e-02
-7.258329409170776181e+00 9.914086017912916438e-01 7.794452712722128862e-02
-7.258329345023096124e+00 1.011559698551654840e+00 7.973679195936876629e-02
-7.258329213132220126e+00 9.810617695010224182e-01 7.693041856624935337e-02
-7.258141204788242540e+00 9.653568693285999869e-01 7.249145547864524475e-02
-7.258061601249949923e+00 9.601941578558677026e-01 7.194126550536794618e-02
-7.257890928825422527e+00 1.039303536109679404e+00 5.158235695740889110e-02
-7.257890928181158330e+00 9.922995532803973173e-01 4.930419210622806470e-02
-7.257768084205887149e+00 9.356611473098722653e-01 6.724476798756807983e-02
-7.257596819812151878e+00 9.916656517431566842e-01 6.572551657446203122e-02
-7.257596817543715773e+00 9.915577818923365649e-01 6.564522442813919278e-02
-7.256970313703323683e+00 9.804165922455158055e-01 5.776107501510134579e-02
-7.256730124535203608e+00 9.651230482697001900e-01 5.638801222165878979e-02
-7.256690688869380956e+00 1.016587799524099500e+00 5.028316258326528954e-02
-7.256652633856981893e+00 9.802860049486652461e-01 4.877210576008168819e-02
-7.256298470557205782e+00 1.015991343489892840e+00 7.471475055942441990e-02
-7.256298469090309844e+00 1.018166644714857849e+00 7.471328427795727312e-02
-7.256234170813066875e+00 1.030945256319739212e+00 7.548849801779305979e-02
-7.256124222510151434e+00 1.014364468863922175e+00 7.069076044924037239e-02
-7.256123064623396068e+00 1.042520858665271222e+00 1.208049899243273384e-01
-7.256122887868031057e+00 1.039247539478719284e+00 1.200551719151997793e-01
-7.256122886156565421e+00 1.040376286765175351e+00 1.209282998850945839e-01
-7.256122882927688700e+00 1.052025910746257065e+00 1.211574600692408160e-01
-7.255862304639962623e+00 9.769136600211171251e-01 6.331511647234579210e-02
-7.255670255931335078e+00 9.803614107151836787e-01 7.042622523789957012e-02
-7.255623125813418284e+00 1.010688375509456227e+00 1.198480977506378026e-01
-7.255623122193948227e+00 1.034366786362692858e+00 1.219610957569366994e-01
-7.255623025930521663e+00 9.876521786125097568e-01 1.161225131225721990e-01
-7.255622929658889220e+00 1.006850127675165574e+00 1.190545066171235927e-01
-7.255569187731980563e+00 9.831402351935629724e-01 7.061057418151381326e-02
-7.255468003206674510e+00 9.860843060598040166e-01 7.080973346881844210e-02
-7.255359291563708624e+00 1.055897410186161345e+00 8.400743600558359392e-02
-7.255349650433274178e+00 1.071477699402487493e+00 6.486652833492288772e-02
-7.255293902176395804e+00 1.039949316925866230e+00 8.293983659648314355e-02
-7.254866343690829389e+00 9.909428808903867347e-01 1.078096887987181063e-01
-7.254866302789499066e+00 9.786031511305433028e-01 1.070836744029018961e-01
-7.254866259471157264e+00 9.636070570459603912e-01 1.051387202461984832e-01
-7.254702722233577816e+00 9.904812641848040888e-01 5.842318438837926231e-02
-7.254462609092636960e+00 9.775495067315648212e-01 5.704541139616985113e-02
-7.254170027623655592e+00 9.855648315961957895e-01 4.869283447766233064e-02
-7.254135139910601104e+00 9.655719711506439706e-01 4.799983218757093717e-02
