# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.275243174131640345e+00 6.772362382301549966e-01 3.304256454349128319e-02 2.453432293938000221e+06
-7.275243099247802547e+00 6.559545318313322326e-01 3.304254934540466759e-02 2.453431794695999939e+06
-7.274968000214146358e+00 1.050689692451074908e+00 8.926334447262701532e-02 2.455261620786000043e+06
-7.274968000072719931e+00 1.021861842682920463e+00 8.676351602699325372e-02 2.455261834702000022e+06
-7.274961691332586078e+00 9.868396339931468919e-01 1.043391985797898630e-02 2.452703045361999888e+06
-7.274961664890343904e+00 9.907199044731137549e-01 1.043379410812200064e-02 2.452703295346000232e+06
-7.274961664383724269e+00 9.801413393289526432e-01 1.043370124144862680e-02 2.452702545278999954e+06
-7.274961663930663569e+00 9.943494367589820193e-01 1.043384002218141968e-02 2.452702795289999805e+06
-7.274952044552819075e+00 1.126094055370579161e+00 9.373655897412348781e-02 2.455260545365999918e+06
-7.274816820139141882e+00 1.046303500498861450e+00 8.898703346082216525e-02 2.455261660536000039e+06
-7.274699566081618940e+00 1.109711180790836416e+00 9.295672644287426845e-02 2.455261045322000049e+06
-7.274672449572116228e+00 9.849379189908167298e-01 5.695141260003765832e-02 2.454535544952000026e+06
-7.274672447906749717e+00 9.760208512131284264e-01 5.696352555521529137e-02 2.454536295613999944e+06
-7.274501759167611326e+00 1.018987359844307772e+00 8.686948503279401379e-02 2.455262295758000109e+06
-7.274394703545797647e+00 1.090591427243042144e+00 7.357497964247709799e-02 2.459642544077000115e+06
-7.274318110315592278e+00 1.109162661732137733e+00 9.274246138065150857e-02 2.455260795347000007e+06
-7.274090061057711054e+00 1.030696204841365926e+00 8.753367099245119853e-02 2.455262067970999982e+06
-7.273754702303968145e+00 9.042842557252100955e-01 7.041200101260818023e-02 2.459280543184000067e+06
-7.273515243501439187e+00 9.214743083439138616e-01 7.124844768391745686e-02 2.459281043341999874e+06
