# heliocentricLat[deg] normalizedFlux[unitless]
-7.241063337206568917e+00 9.567253704041408513e-01
-7.241063264866061111e+00 9.377642230395615286e-01
-7.241063229054357286e+00 9.255832226370764859e-01
-7.241049979498178857e+00 1.171014342392162622e+00
-7.240947342807957376e+00 1.023124670451780682e+00
-7.240845827446803717e+00 9.070185903209007083e-01
-7.240775912567429806e+00 9.027399027608212778e-01
-7.240403745656227130e+00 9.708575091664997103e-01
-7.240338333748223221e+00 9.810117723272869794e-01
-7.239937606877288268e+00 1.087720603181779877e+00
-7.239881193127594372e+00 9.552232162823739436e-01
-7.239849609142786413e+00 1.087216095339866184e+00
-7.239113271188410081e+00 9.778839569570051404e-01
-7.239071274660258126e+00 9.672847823528176736e-01
-7.238654673201407874e+00 1.080120298526545453e+00
-7.238594282404926084e+00 1.005930876530357398e+00
-7.238455219248182360e+00 9.985465307340032348e-01
-7.238446468359552632e+00 1.190794105998389751e+00
-7.238232829190310191e+00 3.261149156559588723e-03
-7.238232827509475165e+00 9.048848711618887597e-01
-7.238232726312704202e+00 9.102535255390332702e-01
-7.237629513276647941e+00 1.101792335380330279e+00
-7.237629512273830557e+00 1.101328392002417500e+00
-7.237470136035667245e+00 1.147974276795526549e+00
-7.237030104980792800e+00 1.129475922558776935e+00
-7.237030099317689924e+00 1.114038065995472948e+00
-7.237029954278523469e+00 1.144014099479491620e+00
-7.237029948618009634e+00 1.100995725625411703e+00
-7.236607719373716385e+00 1.090961615371852655e+00
-7.236561319618222576e+00 1.074911266337484461e+00
-7.236561271450112187e+00 1.063418310203966932e+00
-7.236561221595211535e+00 1.081380933222499729e+00
-7.236515636274946317e+00 1.092582359174497419e+00
-7.236502702507916496e+00 1.102702573183039103e+00
-7.236502693893784866e+00 1.079096116740935418e+00
-7.236502676018266023e+00 1.099090745179577722e+00
-7.236502675694080011e+00 1.098789860687807485e+00
-7.236135621247332672e+00 9.829486403499790859e-01
-7.235842884727338387e+00 1.000289526446518140e+00
-7.235718057913191892e+00 8.420736892686165875e-01
-7.235578538310826424e+00 1.022111498977373856e+00
-7.235578430232852298e+00 1.035083669623203084e+00
-7.235578294734971827e+00 1.027603632380864163e+00
-7.235578292450331794e+00 1.027544126634952315e+00
-7.235499276979087568e+00 1.025471930831263423e+00
-7.235476531826369850e+00 8.543108170976738691e-01
-7.235419695535997064e+00 9.675017546033460869e-01
-7.235346547752435242e+00 9.623209352814023898e-01
-7.234938483503801976e+00 9.854807308890097817e-01
-7.234938481174893354e+00 9.889654357179211708e-01
-7.234938342607545536e+00 9.938224113955540506e-01
-7.234938208949332150e+00 9.906335566797284109e-01
-7.234834095713065238e+00 9.684150017733352822e-01
-7.234769732803473019e+00 9.567176562884053270e-01
-7.234733621627584377e+00 9.499826382872708086e-01
-7.234664873707734145e+00 9.206045983028933177e-01
-7.234664872454420248e+00 9.158399883924448481e-01
-7.234663020855728988e+00 9.969156175885204307e-01
-7.234617478701089510e+00 9.480528536147920793e-01
-7.234501218110103160e+00 9.455066731341073005e-01
-7.234436929997269061e+00 8.989057230005728094e-01
-7.234436926939667778e+00 9.330936647629793912e-01
-7.234436847217450506e+00 9.053456243635870093e-01
-7.234436763184969976e+00 9.111031773165509939e-01
-7.233318752912425431e+00 1.120201501742117411e+00
-7.233296202680760345e+00 1.057395864403491093e+00
-7.233296001852044022e+00 1.051137010095344992e+00
-7.233295999393015485e+00 1.082481702995486961e+00
-7.233243289340157034e+00 9.988948083913016252e-01
-7.233222811160158194e+00 1.091654150741429463e+00
-7.233182897235022502e+00 1.056542891787981331e+00
-7.233182886535824530e+00 1.073178762300356359e+00
-7.233182875680330248e+00 1.055981908489603605e+00
-7.233024758749467154e+00 1.203067564307289006e+00
-7.233021242574915632e+00 9.767476364926128696e-01
-7.233020909691854072e+00 9.860219638784165630e-01
-7.233020903453685868e+00 9.782955199247030942e-01
-7.233020746387217592e+00 9.808614492749294644e-01
-7.232837387583096245e+00 1.160655740048032847e+00
-7.232728206247395875e+00 9.760686159181736210e-01
-7.232691691963101910e+00 1.048992071681107419e+00
-7.232600693568201677e+00 9.294951528876801428e-01
-7.232600637473380445e+00 9.251964912387777851e-01
-7.232600634452648336e+00 9.371799532150101308e-01
-7.232600581401935180e+00 9.277122652778803102e-01
-7.232573004420149942e+00 9.529742611224584214e-01
-7.232572796433821338e+00 9.395287893054505846e-01
-7.232572794441195718e+00 9.166414041089975262e-01
-7.232572690339848620e+00 9.567931888953654651e-01
-7.232570066734275827e+00 9.765306052905049494e-01
-7.232539292970956879e+00 9.856343910158378296e-01
-7.232516683146497094e+00 9.562765863338135164e-01
-7.232456756065972492e+00 9.837668043009965002e-01
-7.232308960936249420e+00 9.367234217829814025e-01
-7.232167349407731649e+00 9.970776969693636582e-01
-7.232036410958929018e+00 8.091803675246068694e-01
-7.232036408711933539e+00 8.094421577034308646e-01
-7.232036146990053815e+00 8.009431486083672391e-01
-7.232036012648881851e+00 7.883912413464702063e-01
-7.231997842725545134e+00 1.081930488851099437e+00
-7.231997840425794521e+00 1.104193857580843208e+00
-7.231960264588315646e+00 1.008142301148181597e+00
-7.231947613471544578e+00 1.004140427723306583e+00
-7.231901251691843946e+00 9.266534384409232938e-01
-7.231682007010339142e+00 1.028026257671037502e+00
