# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.268802982041511207e+00 9.064148920012763400e-01 1.032976997126096447e-01 2.452341805244999938e+06
-7.268802944862979842e+00 9.161955398866462597e-01 1.041128778854696485e-01 2.452341555257000029e+06
-7.268802944164796997e+00 9.996613916511714049e-01 1.142516980153105988e-01 2.452342055232000072e+06
-7.268691603257319223e+00 9.096278485028075345e-01 1.027744477764640924e-01 2.452341055236999877e+06
-7.268691602307867150e+00 9.111793647297303789e-01 1.026540722571902264e-01 2.452340805228000041e+06
-7.268691585817720124e+00 9.098140474145277601e-01 1.030913197999007574e-01 2.452341305230999831e+06
-7.268691584868837374e+00 9.117216048126095540e-01 1.024200251674350637e-01 2.452340555238000117e+06
-7.268471499934990199e+00 9.970947281306838939e-01 7.425545723168164303e-02 2.454899760881000198e+06
-7.268396156794634244e+00 1.005207259384190754e+00 7.851118942139931334e-02 2.455263554432000034e+06
-7.268081694662077652e+00 9.828320893589539420e-01 1.146599606414388794e-01 2.453065804076000117e+06
-7.268081623578862782e+00 9.807153271240991455e-01 1.147630971894514074e-01 2.453066054010999855e+06
-7.268081622245862405e+00 9.901061396619218469e-01 1.151554075920711850e-01 2.453065554070000071e+06
-7.268081550077939212e+00 9.710704135881937926e-01 1.139817079965581570e-01 2.453066303592000157e+06
-7.267787646673990132e+00 9.882813718022153138e-01 7.879858475516432481e-02 2.452702347258000169e+06
-7.267787599045400171e+00 9.782742461884886831e-01 7.755239894948244561e-02 2.452701803276000079e+06
-7.267787554077801637e+00 9.765813439778783245e-01 7.721457825632822847e-02 2.452701553371000104e+06
-7.267787552322100275e+00 9.860029860772115962e-01 7.837152202899305697e-02 2.452702052957000211e+06
-7.267665992852510470e+00 9.851591143472548939e-01 6.679233330278974701e-02 2.459649553423999809e+06
-7.267566019818952228e+00 1.013818397186812881e+00 7.577705798187142627e-02 2.455258804833000060e+06
-7.266945833764733464e+00 9.706917760192909084e-01 5.979564050025134442e-02 2.459279054889000021e+06
-7.266662450107792104e+00 1.028671291364260387e+00 1.192609575286855822e-01 2.452343305259000044e+06
-7.266662449151438885e+00 9.964072601292451870e-01 1.145342459151466596e-01 2.452342555226999801e+06
-7.266662335353022861e+00 1.003595648945588836e+00 1.156910169017433543e-01 2.452342805259000044e+06
-7.266662278444714573e+00 1.029766666704712508e+00 1.190472086576077337e-01 2.452343055215000175e+06
-7.266515759932060448e+00 9.856862662293740529e-01 6.908615931413142341e-02 2.454891804370000027e+06
-7.266485702049359396e+00 9.983373388426989292e-01 6.777775809671603147e-02 2.454535553931999952e+06
-7.266448073505336502e+00 9.745904214972019863e-01 6.852808059703484334e-02 2.454892304382000118e+06
-7.266442128162995395e+00 9.905033324719250132e-01 6.168445448497208994e-02 2.459284055015000049e+06
-7.266329970934066296e+00 9.227149923882161930e-01 1.033567420475584864e-01 2.452340305261999834e+06
-7.266329968625186986e+00 9.133347518853567326e-01 1.014253493424477626e-01 2.452339555236999877e+06
-7.266329966442372168e+00 9.092965909809044289e-01 1.012686817063231243e-01 2.452339805265000090e+06
-7.266329964007462117e+00 9.155113788895254956e-01 1.022549592354036752e-01 2.452340055230000056e+06
-7.266163734659504492e+00 1.000028099077429955e+00 6.658971533105476071e-02 2.459642054229000118e+06
-7.266078409143324812e+00 1.017145993799211556e+00 7.619566337489784569e-02 2.455259054802999832e+06
-7.266016304600053211e+00 9.858356590388489549e-01 1.375147948928351627e-01 2.453794564437999856e+06
-7.265326745463182689e+00 1.014349767570106309e+00 7.979453204571554381e-02 2.455264304330999963e+06
-7.265326744362011979e+00 1.003355782785871897e+00 7.855394299077259057e-02 2.455263804386000149e+06
-7.264407735110031794e+00 9.990246461343561535e-01 7.401384130332164246e-02 2.455257802910999861e+06
-7.264365839951305581e+00 9.898394109634991445e-01 6.926875993414925714e-02 2.454891554432000034e+06
-7.263889445360899089e+00 9.732053297547941240e-01 5.981555027202266339e-02 2.459278055341000203e+06
-7.263843020622759994e+00 9.794238200875754474e-01 6.012521326268777805e-02 2.459277555248999968e+06
-7.263587137717080644e+00 9.990156366880474925e-01 7.543725116774528672e-02 2.454901304802000057e+06
-7.263550709714668763e+00 1.012489413492109858e+00 8.003257822072819272e-02 2.455264804324999917e+06
-7.263286845670761771e+00 9.965700542419504426e-01 6.198922381682647059e-02 2.459283554895999841e+06
