# t_obs[JD] firstOrderFlux[norm] firstOrderFluxUnc[norm] centralOrderFlux[norm] centralOrderFluxUnc[norm]
2452655.0000000000 1.5241727592 0.0076927255 2.5969772194 0.0901499397
2452656.0000000000 1.4986222542 0.0072332061 2.5147552812 0.1793321311
2452657.0000000000 1.4606765360 0.0042481455 2.3469488180 0.0429751526
2452658.0000000000 1.4419252717 0.0067345507 2.2973591972 0.0344902796
2452659.0000000000 1.4133239141 0.0059713855 2.2883395995 0.0357156241
2452660.0000000000 1.3976609222 0.0080901257 2.4736459781 0.1895645069
2452661.0000000000 1.4115589106 0.0045545954 2.8226533640 0.7699488221
2452662.0000000000 1.3997920580 0.0072211778 2.3179989114 0.2810332567
2452663.0000000000 1.3677776073 0.0096814074 2.3625940129 0.4777830164
2452664.0000000000 1.3446958993 0.0086004281 2.3645688001 0.5500702695
2452665.0000000000 1.3216724965 0.0040896799 2.0044174787 0.1721862539
2452666.0000000000 1.3123730495 0.0026607202 1.8331595332 0.0983867225
2452667.0000000000 1.3218022510 0.0046323591 1.8096600080 0.1736789577
2452668.0000000000 1.3224987767 0.0024829513 1.7688500048 0.0934493945
2452669.0000000000 1.3325191450 0.0047894475 1.8644914659 0.0927467193
2452670.0000000000 1.3276297913 0.0040958459 1.7696442190 0.0450124822
2452671.0000000000 1.3162504224 0.0034170272 1.9255512184 0.1404833796
2452672.0000000000 1.3188529716 0.0035261012 2.2168291217 0.4915154156
2452673.0000000000 1.3244180858 0.0074028172 2.1388541734 0.0976031914
2452674.0000000000 1.3373386032 0.0046939980 2.1360637139 0.0424453788
2452675.0000000000 1.3482148245 0.0045862659 2.1895568425 0.0818122177
2452676.0000000000 1.3741977270 0.0067152969 2.2756766378 0.2300200727
2452677.0000000000 1.4015754465 0.0044325748 2.6011851169 0.4166344524
2452678.0000000000 1.4283516590 0.0062645427 2.3122110386 0.0959177695
2452679.0000000000 1.4339831372 0.0035627229 2.1529139623 0.1056016593
2452680.0000000000 1.4423540952 0.0039463008 2.1375290945 0.0388613117
2452681.0000000000 1.4353918331 0.0036254071 2.1213809353 0.0903755962
2452682.0000000000 1.4342408593 0.0027151689 2.1311290212 0.0903036839
2452683.0000000000 1.4296947396 0.0054495987 2.1702086050 0.2420609416
2452684.0000000000 1.4295979764 0.0043168615 2.0931853677 0.0944110839
2452685.0000000000 1.4267274142 0.0032484402 2.3699565548 0.2154831311
2452686.0000000000 1.3983948889 0.0097053581 2.3839396448 0.3283204325
2452687.0000000000 1.3666204110 0.0072679773 2.0528862799 0.1571792801
2452688.0000000000 1.3113083503 0.0109655966 1.8591954828 0.1433207016
2452689.0000000000 1.2705799196 0.0084069440 1.6011496004 0.0854165417
2452690.0000000000 1.2422629188 0.0059732289 1.5638787419 0.0800248678
2452691.0000000000 1.2253274340 0.0038203885 1.6459066759 0.0765345868
2452692.0000000000 1.2080532850 0.0049871340 1.8535867436 0.1610087049
2452693.0000000000 1.1829761146 0.0073284438 1.5467128048 0.1875493622
2452694.0000000000 1.1580043454 0.0034519255 1.2228864350 0.0214225242
2452695.0000000000 1.1656409059 0.0031400089 1.2093511350 0.0594714078
2452696.0000000000 1.1861433373 0.0049529844 1.2923399223 0.0450604372
2452697.0000000000 1.2192367119 0.0084605946 1.5792065005 0.0956465730
2452698.0000000000 1.2657263683 0.0108544461 1.9527208986 0.0935158152
2452699.0000000000 1.3114139141 0.0099376605 2.1693827038 0.0899722570
2452700.0000000000 1.3442692018 0.0079319002 2.3578703391 0.2345027020
2452701.0000000000 1.3753739227 0.0087204074 2.4028354930 0.1049886422
2452702.0000000000 1.3970707795 0.0030816684 2.2623282971 0.1780830781
2452703.0000000000 1.4109769681 0.0062558482 2.1933948791 0.0487793597
2452704.0000000000 1.4223078636 0.0027226840 2.1511514856 0.0534992291
2452705.0000000000 1.4318105274 0.0033885915 2.2600178455 0.0515848480
2452706.0000000000 1.4469992242 0.0052789210 2.2829088726 0.0558888964
2452707.0000000000 1.4345409454 0.0078954338 2.2757225767 0.1495432973
2452708.0000000000 1.4176985158 0.0040438480 2.2542952590 0.1059938218
2452709.0000000000 1.4085081357 0.0035723427 2.1557722973 0.1082134800
2452710.0000000000 1.3809718375 0.0083891735 2.0247876233 0.0607652793
2452711.0000000000 1.3576582015 0.0054602002 1.9321004356 0.0440243903
2452712.0000000000 1.3237648281 0.0065885088 1.8800058053 0.0567537952
2452713.0000000000 1.3065986584 0.0039333825 1.8745961672 0.0929726751
2452714.0000000000 1.2789017050 0.0110902799 1.8282346137 0.2289826182
2452715.0000000000 1.2409475535 0.0116277255 1.8372137818 0.1721638416
2452716.0000000000 1.1979589035 0.0094154075 2.0264580748 1.3817136868
2452717.0000000000 1.1760706815 0.0120063593 2.5868617567 1.9269599447
2452718.0000000000 1.1503448726 0.0102808238 2.0407798875 0.8296311457
2452719.0000000000 1.1195606215 0.0051306332 1.4650821307 0.2917322566
2452720.0000000000 1.1066801514 0.0041943890 1.2976112323 0.0794354214
2452721.0000000000 1.0894840981 0.0023295428 1.1633644972 0.0657833839
2452722.0000000000 1.1027799720 0.0079176753 1.2173950669 0.1548318184
2452723.0000000000 1.1331558470 0.0053906437 1.3373261854 0.1075745531
2452724.0000000000 1.1773751839 0.0130150770 1.4308562920 0.0882980833
2452725.0000000000 1.2309986981 0.0102529744 1.7579464296 0.1221001028
2452726.0000000000 1.2759987660 0.0073625581 2.0652196955 0.1071714455
2452727.0000000000 1.3030362604 0.0060380815 1.9643465520 0.0714472643
2452728.0000000000 1.3371334722 0.0072652510 2.2491996500 0.2709305799
2452729.0000000000 1.3491129002 0.0049269996 2.1421981995 0.1048555687
2452730.0000000000 1.3598342015 0.0048772972 2.1772104679 0.1207742276
2452731.0000000000 1.3787362822 0.0046926842 2.2320163451 0.1560094303
2452732.0000000000 1.3965632741 0.0079363075 2.3901132118 0.1477833712
2452733.0000000000 1.4155851999 0.0040481918 2.7030377726 0.2578074377
2452734.0000000000 1.4026930123 0.0110658914 2.9821118660 0.8392391010
2452735.0000000000 1.3412829758 0.0104163700 2.5481121406 0.3550292391
2452736.0000000000 1.2861216115 0.0115401936 2.0880594934 0.2086487259
2452737.0000000000 1.2312357822 0.0093291116 1.7824315027 0.1301468617
2452738.0000000000 1.1979138061 0.0052094846 1.5840672365 0.0467136053
2452739.0000000000 1.1823695434 0.0041053527 1.7080860043 0.3990199757
2452740.0000000000 1.1662669569 0.0043152653 1.4330049370 0.0875295126
2452741.0000000000 1.1437524014 0.0038233550 1.3831463365 0.1074593724
2452742.0000000000 1.1364171701 0.0022064486 1.2768057423 0.0360534997
2452743.0000000000 1.1456908724 0.0054226462 1.2829705424 0.0672280393
2452744.0000000000 1.1579754436 0.0023024491 1.3024178947 0.0972526195
2452745.0000000000 1.1642132317 0.0018956480 1.2555308120 0.0231070324
2452746.0000000000 1.1613263610 0.0021376761 1.2692035250 0.0253491029
2452747.0000000000 1.1769195633 0.0069351330 1.4561076990 0.2203587706
2452748.0000000000 1.2085917688 0.0056114969 1.5990311361 0.1544288163
2452749.0000000000 1.2228828137 0.0050675252 1.5819258618 0.1126969913
2452750.0000000000 1.2388210087 0.0082636356 1.6444069066 0.1249752399
2452751.0000000000 1.2818428054 0.0080879432 1.9034473341 0.4098240749
2452752.0000000000 1.3060456601 0.0039324714 2.1250522583 0.1734027855
2452753.0000000000 1.3187079539 0.0075862577 2.4982266889 0.9798639551
2452754.0000000000 1.3402472491 0.0065939050 2.3115572140 0.6781309520
2452755.0000000000 1.3339325237 0.0080010753 2.4014859909 0.5106503438
2452756.0000000000 1.3341268129 0.0060689610 2.3167719038 0.4720261561
2452757.0000000000 1.3462715153 0.0047542454 2.6474921368 0.4314623904
2452758.0000000000 1.3326886713 0.0065053984 2.4275473687 0.2938937416
2452759.0000000000 1.3176088085 0.0058538500 2.3404763165 0.3939629067
2452760.0000000000 1.2875349901 0.0066547740 2.0273650621 0.1053692571
2452761.0000000000 1.2676143247 0.0044610246 2.1487562410 0.1867921676
2452762.0000000000 1.2558090422 0.0086397055 2.2170083748 0.4671576448
2452763.0000000000 1.2267681254 0.0055013211 2.1035936379 0.1389648955
2452764.0000000000 1.2171519236 0.0106134915 2.1229030265 0.1071540589
2452765.0000000000 1.1754873052 0.0082861101 1.9420272884 0.0748168278
2452766.0000000000 1.1542253744 0.0041883572 2.1850350787 0.2886835147
2452767.0000000000 1.1431614536 0.0076228794 2.0978489315 0.1990741069
2452768.0000000000 1.1193597001 0.0060518261 1.9447499615 0.1847000401
2452769.0000000000 1.1007746496 0.0044014623 1.6170096166 0.2173264336
2452770.0000000000 1.0991173499 0.0030133621 1.2241983061 0.0777966371
2452771.0000000000 1.0977603764 0.0026887603 1.1040200958 0.0288658136
2452772.0000000000 1.1013345131 0.0037924473 1.0961007049 0.0275717383
2452773.0000000000 1.1121122761 0.0023286811 1.1494065758 0.0259020142
2452774.0000000000 1.1276741328 0.0069000228 1.1986488470 0.0472544570
2452775.0000000000 1.1720925336 0.0104794921 1.3427469335 0.0425777847
2452776.0000000000 1.2002974374 0.0062888254 1.4499031134 0.0767199165
2452777.0000000000 1.2332829811 0.0046466970 1.4845739166 0.0319781054
2452778.0000000000 1.2567075700 0.0063852778 1.5547930756 0.0677974263
2452779.0000000000 1.2821055776 0.0060062556 1.7084227919 0.1313758047
2452780.0000000000 1.3119190251 0.0054443791 1.8309052932 0.0613782093
2452781.0000000000 1.3361503579 0.0057482933 1.9385183966 0.0798211421
2452782.0000000000 1.3577442996 0.0049405605 2.0367640449 0.2025922998
2452783.0000000000 1.3570534808 0.0031985542 1.9097420526 0.0490538957
2452784.0000000000 1.3409909204 0.0057153373 1.8932120380 0.0434842499
2452785.0000000000 1.3254367341 0.0048660034 1.8665353406 0.1898833800
2452786.0000000000 1.2962481227 0.0083490768 2.3145917781 0.7445681020
2452787.0000000000 1.2968761725 0.0153901550 2.7833293843 1.8649265383
2452788.0000000000 1.2855687686 0.0195889442 3.0179196683 2.8616849549
2452789.0000000000 1.2771574243 0.0159085374 2.1679688535 1.5053304788
2452790.0000000000 1.2349437064 0.0061715512 1.8535322967 0.2690172256
2452791.0000000000 1.2116287143 0.0121658914 2.4321843359 1.8085416207
2452792.0000000000 1.1854290905 0.0083373098 2.6464500787 0.7491492156
2452793.0000000000 1.1706296150 0.0087223992 3.1974833829 1.6159705215
2452794.0000000000 1.1446542417 0.0057299365 1.8939342480 0.1944307013
2452795.0000000000 1.1143812183 0.1131370905 1.3992125466 0.5102838139
2452796.0000000000 1.1400346102 0.0045748591 1.7428613555 0.1371999445
2452797.0000000000 1.1688082557 0.0066330835 1.9990619133 0.3198258729
2452798.0000000000 1.1806390285 0.0054337139 2.1812708653 0.3768275536
2452799.0000000000 1.2113864672 0.0105790029 2.4959578575 0.4783656520
2452800.0000000000 1.2557179435 0.0195701142 3.4620111080 1.3913400579
2452801.0000000000 1.2875295587 0.0093125630 4.3960595703 1.2479225637
2452802.0000000000 1.3184244165 0.0173782719 6.6810265984 2.9847276665
2452803.0000000000 1.3299235811 0.0146770453 4.3493121572 1.6454479132
2452804.0000000000 1.2973892506 0.0057561756 4.1428585757 0.9285971440
2452805.0000000000 1.2924113691 0.0080589284 3.2840489375 0.8634947969
2452806.0000000000 1.2836926357 0.0052563971 2.5872256275 1.2653600577
2452807.0000000000 1.2797516886 0.0124300621 2.9856462120 2.7479566674
2452808.0000000000 1.2699276508 0.0084793045 2.2435532710 1.4725181978
2452809.0000000000 1.2599172201 0.0778162900 1.9454706483 0.5734962063
2452810.0000000000 1.2776485859 0.0038761792 1.8935183185 0.0794756429
2452811.0000000000 1.2637138346 0.0078552241 1.8588210712 0.1181713649
