#t_obs[JD] flux[W/m^2] flux_unc[W/m^2]
2450545.000000 1360.785000 0.132000
2450546.000000 1360.796000 0.137000
2450547.000000 1360.803000 0.132000
2450548.000000 1360.824000 0.136000
2450549.000000 1360.844000 0.133000
2450550.000000 1360.861000 0.134000
2450551.000000 1360.872000 0.135000
2450552.000000 1360.858000 0.131000
2450553.000000 1360.793000 0.136000
2450554.000000 1360.731000 0.131000
2450555.000000 1360.743000 0.136000
2450556.000000 1360.761000 0.131000
2450557.000000 1360.787000 0.135000
2450558.000000 1360.811000 0.134000
2450559.000000 1360.816000 0.134000
2450560.000000 1360.799000 0.136000
2450561.000000 1360.786000 0.132000
2450562.000000 1360.796000 0.137000
2450563.000000 1360.803000 0.131000
2450564.000000 1360.836000 0.136000
2450565.000000 1360.868000 0.132000
2450566.000000 1360.888000 0.135000
2450567.000000 1360.896000 0.134000
2450568.000000 1360.915000 0.133000
2450569.000000 1360.948000 0.136000
2450570.000000 1360.969000 0.131000
2450571.000000 1360.965000 0.137000
2450572.000000 1360.956000 0.131000
2450573.000000 1360.952000 0.136000
2450574.000000 1360.944000 0.132000
2450575.000000 1360.921000 0.135000
2450576.000000 1360.885000 0.134000
2450577.000000 1360.856000 0.132000
2450578.000000 1360.838000 0.136000
2450579.000000 1360.812000 0.131000
2450580.000000 1360.771000 0.136000
2450581.000000 1360.727000 0.131000
2450582.000000 1360.782000 0.136000
2450583.000000 1360.853000 0.132000
2450584.000000 1360.858000 0.134000
2450585.000000 1360.814000 0.134000
2450586.000000 1360.771000 0.132000
2450587.000000 1360.731000 0.136000
2450588.000000 1360.695000 0.131000
2450589.000000 1360.717000 0.136000
2450590.000000 1360.741000 0.131000
2450591.000000 1360.828000 0.136000
2450592.000000 1360.928000 0.132000
2450593.000000 1360.971000 0.134000
2450594.000000 1360.969000 0.135000
2450595.000000 1360.971000 0.132000
2450596.000000 1360.981000 0.136000
2450597.000000 1360.998000 0.131000
2450598.000000 1361.048000 0.136000
2450599.000000 1361.095000 0.131000
2450600.000000 1361.039000 0.136000
2450601.000000 1360.943000 0.133000
2450602.000000 1360.888000 0.134000
2450603.000000 1360.869000 0.136000
2450604.000000 1360.855000 0.132000
2450605.000000 1360.861000 0.137000
2450606.000000 1360.861000 0.131000
2450607.000000 1360.853000 0.137000
2450608.000000 1360.838000 0.132000
2450609.000000 1360.842000 0.136000
2450610.000000 1360.849000 0.134000
2450611.000000 1360.853000 0.133000
2450612.000000 1360.854000 0.136000
2450613.000000 1360.848000 0.131000
2450614.000000 1360.838000 0.137000
2450615.000000 1360.828000 0.131000
