# t_obs[JD] firstOrderFlux[counts/s] firstOrderFluxUnc[counts/s] centralOrderFlux[counts/s] centralOrderFluxUnc[counts/s]
2450479.000000 161.627779 0.229601 2981.187750 27.966112
2450480.000000 161.103087 0.367649 2940.857594 15.813852
2450481.000000 160.690819 0.286037 2941.485873 22.044979
2450482.000000 163.089929 0.965569 3473.068167 373.036829
2450483.000000 165.256023 0.314800 3685.096951 178.606443
2450484.000000 166.023621 0.305951 3743.029135 200.569081
2450485.000000 165.969282 0.301457 3451.259940 65.605537
2450486.000000 166.368906 0.220371 3416.841430 48.535336
2450487.000000 168.749231 0.589426 3709.236880 80.080034
2450488.000000 169.501885 0.353053 3627.529104 72.341474
2450489.000000 167.408419 0.618561 3494.271699 64.408907
2450490.000000 164.815357 0.532691 3203.718974 78.835358
2450491.000000 162.417258 0.426278 3034.858437 24.256555
2450492.000000 161.416161 0.474753 2969.170581 30.070104
2450493.000000 159.890499 0.251448 2895.583016 11.249559
2450494.000000 159.695826 0.230079 2884.061879 7.165843
2450495.000000 159.634967 0.154651 2868.179577 12.174413
2450496.000000 159.373766 0.263642 2844.247935 11.742985
2450497.000000 158.881600 0.418515 2829.933670 32.355131
2450498.000000 160.424478 0.265020 2941.071321 19.666074
2450499.000000 159.850124 0.302804 2972.833905 222.251079
2450500.000000 160.651954 0.385243 3183.546193 326.466146
2450501.000000 160.695242 0.354629 3092.308240 63.774959
2450502.000000 162.774545 0.333806 3136.674207 32.473487
2450503.000000 163.229925 0.368621 3492.688646 451.024840
2450504.000000 163.644035 0.360497 3207.012820 23.090465
2450505.000000 164.385408 0.373149 3210.104895 41.869440
2450506.000000 164.032042 0.315829 3173.240304 22.272083
2450507.000000 164.174463 0.313230 3161.360204 11.781453
2450508.000000 163.400608 0.357327 3138.142474 15.748333
2450509.000000 163.058813 0.271896 3131.255887 9.546622
2450510.000000 162.989673 0.282825 3146.140534 17.764769
2450511.000000 164.329781 0.510788 3222.607681 43.932558
2450512.000000 166.230662 0.332613 3384.139028 62.052957
2450513.000000 167.802839 0.488737 3620.295717 110.675999
2450514.000000 169.347321 0.273330 3887.894518 116.324450
2450515.000000 168.331247 0.304488 3725.687644 50.509610
2450516.000000 168.669903 0.293052 3701.091143 28.656559
2450517.000000 167.925012 0.355526 3946.080224 271.056018
2450518.000000 167.719824 0.467062 3620.882792 50.492443
2450519.000000 167.031009 0.313846 3520.054882 58.404598
2450520.000000 166.278824 0.313731 3425.062908 56.409839
2450521.000000 165.784616 0.286264 3339.013249 19.878383
2450522.000000 165.228839 0.375019 3349.014434 75.982293
2450523.000000 165.891603 0.261486 3388.159210 29.719755
2450524.000000 165.368901 0.415193 3367.338172 59.400316
2450525.000000 164.896314 0.294362 3442.583082 83.583682
2450526.000000 164.481212 0.301849 3311.811693 31.225966
2450527.000000 162.228224 0.410310 3191.832778 36.368090
2450528.000000 160.746367 0.776003 3050.941756 90.109612
2450529.000000 157.430185 0.537349 2784.055574 50.130307
2450530.000000 155.996986 0.275715 2716.859405 15.134287
2450531.000000 155.420504 0.275063 2706.684745 22.478553
2450532.000000 155.836753 0.337739 2739.891486 17.518906
2450533.000000 155.371723 0.259495 2731.274978 25.121634
2450534.000000 154.840773 0.297989 2750.090433 22.526296
2450535.000000 156.036673 0.628052 3202.016986 304.840447
2450536.000000 158.080783 0.260387 3242.645177 251.186545
2450537.000000 159.582290 0.552632 3347.164422 129.297243
2450538.000000 160.255877 0.236047 3259.379475 96.047874
2450539.000000 161.285737 0.746952 3322.848685 151.529752
2450540.000000 164.846950 0.586195 3860.907092 1098.897106
2450541.000000 167.207252 0.712040 4160.977337 248.436642
2450542.000000 170.133688 0.463432 4224.467835 462.736074
2450543.000000 170.190965 0.296596 3872.496297 50.964397
2450544.000000 171.036759 0.375665 4009.677221 149.247708
2450545.000000 170.899356 1.073291 3929.554318 135.133299
2450546.000000 169.112838 0.973009 4269.364930 1271.332849
2450547.000000 168.007829 0.255939 3669.175849 57.407017
2450548.000000 167.923530 0.483471 3838.610886 300.071550
2450549.000000 166.507074 0.727520 3617.687281 100.945875
2450550.000000 164.426314 0.351828 3417.423643 37.319952
2450551.000000 163.804454 0.325274 3381.997223 67.269301
2450552.000000 164.385099 0.489949 3635.379688 209.789962
2450553.000000 163.969957 0.463740 3896.309010 286.164248
2450554.000000 163.438664 0.508660 3947.736572 444.092531
2450555.000000 161.778958 0.726615 3592.159084 169.578554
2450556.000000 157.760629 0.842072 3179.816987 143.865202
2450557.000000 156.085209 0.380271 2822.535887 76.401969
2450558.000000 155.262813 0.289859 2730.344990 30.682228
2450559.000000 154.752170 1.073546 2678.529263 31.267224
2450560.000000 154.819011 0.304154 2718.485662 37.743666
2450561.000000 155.740743 0.212362 2799.261000 28.258559
