# t_obs[JD] heliocentric_dist[km] firstOrderFlux[counts/s] firstOrderFluxUnc[counts/s] centralOrderFlux[counts/s] centralOrderFluxUnc[counts/s]
2450426.000000 145692000.000000 163.570000 0.937638 2859.720000 77.808400
2450427.000000 145687000.000000 167.795000 0.967521 3290.870000 206.562000
2450428.000000 145670000.000000 171.810000 0.776717 3582.890000 114.880000
2450429.000000 145643000.000000 176.170000 1.057900 4048.790000 230.599000
2450430.000000 145626000.000000 180.545000 0.670279 4447.390000 189.698000
2450431.000000 145621000.000000 183.395000 0.435032 4670.380000 169.073000
2450432.000000 145612000.000000 185.120000 0.436680 4573.730000 62.059700
2450433.000000 145594000.000000 187.875000 1.165593 4819.970000 225.893000
2450434.000000 145577000.000000 192.830000 0.708136 5383.660000 321.319000
2450435.000000 145571000.000000 193.750000 0.396043 5132.700000 82.549100
2450436.000000 145560000.000000 193.945000 0.737381 5199.730000 126.214000
2450437.000000 145556000.000000 192.535000 0.771103 5348.090000 697.553000
2450438.000000 145555000.000000 188.855000 0.732558 4648.260000 116.989000
2450439.000000 145551000.000000 188.150000 0.306522 4595.700000 46.801700
2450440.000000 145550000.000000 185.950000 0.785927 4407.970000 80.140800
2450441.000000 145539000.000000 182.600000 0.911102 4262.230000 155.590000
2450442.000000 145539000.000000 179.415000 0.469948 4156.590000 443.635000
2450443.000000 145538000.000000 176.645000 1.081384 3712.170000 135.463000
2450444.000000 145538000.000000 171.760000 0.821789 3324.410000 74.484400
2450445.000000 145538000.000000 169.285000 0.254831 3155.540000 19.086900
2450446.000000 145539000.000000 169.115000 0.248658 3110.420000 19.017700
2450447.000000 145539000.000000 168.610000 0.359646 3155.590000 15.949500
2450448.000000 145550000.000000 167.635000 0.213879 3137.710000 32.414000
2450449.000000 145551000.000000 167.305000 0.325326 3031.950000 36.504500
2450450.000000 145554000.000000 165.700000 0.299547 2931.260000 22.664000
2450451.000000 145555000.000000 165.315000 0.451181 2917.280000 16.443900
2450452.000000 145560000.000000 167.065000 0.531934 2992.700000 39.851100
2450453.000000 145572000.000000 168.850000 0.248978 3123.790000 37.198200
2450454.000000 145583000.000000 170.645000 0.417658 3309.890000 80.747700
2450455.000000 145599000.000000 170.750000 0.369090 3349.210000 11.193700
2450456.000000 145613000.000000 171.090000 0.307894 3387.630000 15.714200
2450457.000000 145620000.000000 172.145000 0.365499 3426.630000 23.147800
2450458.000000 145622000.000000 173.780000 0.273025 3492.340000 16.314500
2450459.000000 145637000.000000 174.300000 0.289455 3553.560000 29.358500
2450460.000000 145665000.000000 174.660000 0.365770 3571.450000 12.430600
2450461.000000 145681000.000000 174.915000 0.208031 3582.790000 15.621900
2450462.000000 145686000.000000 175.120000 0.537871 3564.450000 19.797900
