# t_obs[JD] wavelength[angstrom] pinholes[1ifYes]
2451602.290653 171.000000 0.000000
2451602.294713 284.000000 0.000000
2451602.299720 195.000000 0.000000
2451602.303827 304.000000 0.000000
2451602.544687 284.000000 0.000000
2451602.549696 195.000000 0.000000
2451602.553802 304.000000 0.000000
2451602.794183 284.000000 0.000000
2451602.799174 195.000000 0.000000
2451602.803278 304.000000 0.000000
2451603.039935 171.000000 0.000000
2451603.043953 284.000000 0.000000
2451603.048977 195.000000 0.000000
2451603.053087 304.000000 0.000000
2451603.289840 171.000000 0.000000
2451603.293880 284.000000 0.000000
2451603.298877 195.000000 0.000000
2451603.302986 304.000000 0.000000
2451603.543952 284.000000 0.000000
2451603.548960 195.000000 0.000000
2451603.553067 304.000000 0.000000
2451603.789404 171.000000 0.000000
2451603.793612 284.000000 0.000000
2451603.798429 195.000000 0.000000
2451603.802530 304.000000 0.000000
2451604.039379 171.000000 0.000000
2451604.043423 284.000000 0.000000
2451604.048413 195.000000 0.000000
2451604.052519 304.000000 0.000000
2451604.289593 171.000000 0.000000
2451604.293667 284.000000 0.000000
2451604.298583 195.000000 0.000000
2451604.302688 304.000000 0.000000
2451604.541704 171.000000 0.000000
2451604.545774 284.000000 0.000000
2451604.550738 195.000000 0.000000
2451604.554842 304.000000 0.000000
2451604.791613 171.000000 0.000000
2451604.795656 284.000000 1.000000
2451604.800650 195.000000 0.000000
2451604.804752 304.000000 0.000000
2451605.041678 171.000000 0.000000
2451605.045717 284.000000 1.000000
2451605.050711 195.000000 0.000000
2451605.054934 304.000000 0.000000
2451605.291307 171.000000 0.000000
2451605.300327 195.000000 0.000000
2451605.304455 304.000000 0.000000
2451605.540901 171.000000 0.000000
2451605.544946 284.000000 1.000000
2451605.549938 195.000000 1.000000
2451605.554052 304.000000 0.000000
2451605.790987 171.000000 0.000000
2451605.794954 284.000000 1.000000
2451605.799955 195.000000 1.000000
2451605.804079 304.000000 0.000000
2451606.041068 171.000000 0.000000
2451606.045067 284.000000 1.000000
2451606.054119 304.000000 0.000000
2451606.290998 171.000000 0.000000
2451606.295113 284.000000 1.000000
2451606.300107 195.000000 1.000000
2451606.304118 304.000000 0.000000
2451606.540976 171.000000 0.000000
2451606.545015 284.000000 1.000000
2451606.550008 195.000000 1.000000
2451606.554118 304.000000 0.000000
2451606.790891 171.000000 0.000000
2451606.794934 284.000000 0.000000
2451606.799923 195.000000 1.000000
2451607.041003 171.000000 0.000000
2451607.045041 284.000000 0.000000
2451607.050038 195.000000 1.000000
2451607.054171 304.000000 0.000000
2451607.290558 171.000000 0.000000
2451607.294602 284.000000 0.000000
2451607.299621 195.000000 0.000000
2451607.303726 304.000000 0.000000
2451607.541782 171.000000 0.000000
2451607.545821 284.000000 0.000000
2451607.550817 195.000000 0.000000
2451607.554922 304.000000 0.000000
2451607.791684 171.000000 0.000000
2451607.795726 284.000000 0.000000
2451607.800737 195.000000 0.000000
2451607.804858 304.000000 0.000000
2451608.041637 171.000000 0.000000
2451608.050674 195.000000 0.000000
2451608.054784 304.000000 0.000000
2451608.291422 171.000000 0.000000
2451608.295461 284.000000 0.000000
2451608.300454 195.000000 0.000000
2451608.304558 304.000000 0.000000
2451608.541389 171.000000 0.000000
2451608.545426 284.000000 1.000000
2451608.554513 304.000000 0.000000
2451608.791303 171.000000 0.000000
2451608.795342 284.000000 0.000000
2451608.800313 195.000000 0.000000
2451608.804431 304.000000 0.000000
2451609.041411 171.000000 0.000000
2451609.045442 284.000000 0.000000
2451609.050459 195.000000 0.000000
2451609.054566 304.000000 0.000000
2451609.290639 171.000000 0.000000
2451609.294672 284.000000 0.000000
2451609.299673 195.000000 0.000000
2451609.303810 304.000000 0.000000
2451609.540207 171.000000 0.000000
2451609.544250 284.000000 0.000000
2451609.549247 195.000000 0.000000
2451609.553346 304.000000 0.000000
2451609.790153 171.000000 0.000000
2451609.794351 284.000000 0.000000
2451609.799368 195.000000 0.000000
2451609.803322 304.000000 0.000000
2451610.040233 171.000000 0.000000
2451610.044291 284.000000 0.000000
2451610.049290 195.000000 0.000000
2451610.053404 304.000000 0.000000
2451610.290294 171.000000 0.000000
2451610.294348 284.000000 0.000000
2451610.299335 195.000000 0.000000
2451610.303452 304.000000 0.000000
2451610.541718 171.000000 0.000000
2451610.545770 284.000000 0.000000
2451610.554881 304.000000 0.000000
2451610.790951 171.000000 0.000000
2451610.794974 284.000000 0.000000
2451610.804089 304.000000 0.000000
2451611.040910 171.000000 0.000000
2451611.044954 284.000000 0.000000
2451611.049954 195.000000 0.000000
2451611.054079 304.000000 0.000000
2451611.290636 171.000000 0.000000
2451611.294684 284.000000 0.000000
2451611.299703 195.000000 0.000000
2451611.303809 304.000000 0.000000
2451611.540533 171.000000 0.000000
2451611.544572 284.000000 0.000000
2451611.553700 304.000000 0.000000
2451611.790203 171.000000 0.000000
2451611.794245 284.000000 0.000000
2451611.799228 195.000000 0.000000
2451611.803340 304.000000 0.000000
2451612.040146 171.000000 0.000000
2451612.044192 284.000000 0.000000
2451612.049199 195.000000 0.000000
2451612.053309 304.000000 0.000000
2451612.289549 171.000000 0.000000
2451612.293589 284.000000 0.000000
2451612.298574 195.000000 0.000000
2451612.302681 304.000000 0.000000
2451612.539494 171.000000 0.000000
2451612.543540 284.000000 0.000000
2451612.548537 195.000000 0.000000
2451612.552582 304.000000 0.000000
2451612.789427 171.000000 0.000000
2451612.793462 284.000000 0.000000
2451612.802550 304.000000 0.000000
2451613.039423 171.000000 0.000000
2451613.048476 195.000000 0.000000
2451613.052581 304.000000 0.000000
2451613.289453 171.000000 0.000000
2451613.293646 284.000000 0.000000
2451613.298593 195.000000 0.000000
2451613.302697 304.000000 0.000000
2451613.539503 171.000000 0.000000
2451613.543546 284.000000 0.000000
2451613.552663 304.000000 0.000000
2451613.789443 171.000000 0.000000
2451613.793498 284.000000 0.000000
2451613.802721 304.000000 0.000000
2451614.039465 171.000000 0.000000
2451614.048505 195.000000 0.000000
2451614.052628 304.000000 0.000000
2451614.289477 171.000000 0.000000
2451614.293470 284.000000 0.000000
2451614.298412 195.000000 0.000000
2451614.302450 304.000000 0.000000
2451614.541687 171.000000 0.000000
2451614.545795 284.000000 0.000000
2451614.550694 195.000000 0.000000
2451614.554743 304.000000 0.000000
2451614.791699 171.000000 0.000000
2451614.795680 284.000000 0.000000
2451614.800638 195.000000 0.000000
2451614.804684 304.000000 0.000000
2451615.041653 171.000000 0.000000
2451615.045640 284.000000 0.000000
2451615.050592 195.000000 0.000000
2451615.054631 304.000000 0.000000
2451615.291668 171.000000 0.000000
2451615.295647 284.000000 0.000000
2451615.300578 195.000000 0.000000
2451615.304642 304.000000 0.000000
2451615.541699 171.000000 0.000000
2451615.545686 284.000000 0.000000
2451615.554675 304.000000 0.000000
2451615.791282 171.000000 0.000000
2451615.795278 284.000000 0.000000
2451615.800206 195.000000 0.000000
2451616.041341 171.000000 0.000000
2451616.045318 284.000000 0.000000
2451616.050243 195.000000 0.000000
2451616.054281 304.000000 0.000000
2451616.291689 171.000000 0.000000
2451616.300647 195.000000 0.000000
2451616.541989 171.000000 0.000000
2451616.545905 284.000000 0.000000
2451616.550840 195.000000 0.000000
2451616.554880 304.000000 0.000000
2451616.795797 284.000000 0.000000
2451616.800739 195.000000 0.000000
2451616.804789 304.000000 0.000000
2451617.041818 171.000000 0.000000
2451617.045798 284.000000 0.000000
2451617.050721 195.000000 0.000000
2451617.054759 304.000000 0.000000
2451617.291939 171.000000 0.000000
2451617.295916 284.000000 0.000000
2451617.300844 195.000000 0.000000
2451617.304886 304.000000 0.000000
2451617.541852 171.000000 0.000000
2451617.545823 284.000000 0.000000
2451617.550759 195.000000 0.000000
2451617.791950 171.000000 0.000000
2451617.795918 284.000000 0.000000
2451617.800840 195.000000 0.000000
2451617.804878 304.000000 0.000000
2451618.041875 171.000000 0.000000
2451618.045846 284.000000 0.000000
2451618.050770 195.000000 0.000000
2451618.054804 304.000000 0.000000
2451618.291939 171.000000 0.000000
2451618.295932 284.000000 0.000000
2451618.300856 195.000000 0.000000
2451618.304896 304.000000 0.000000
2451618.541839 171.000000 0.000000
2451618.545825 284.000000 0.000000
2451618.550705 195.000000 0.000000
2451618.554742 304.000000 0.000000
2451618.791819 171.000000 0.000000
2451618.795812 284.000000 0.000000
2451618.800745 195.000000 0.000000
2451618.804783 304.000000 0.000000
2451619.041805 171.000000 0.000000
2451619.045779 284.000000 0.000000
2451619.050701 195.000000 0.000000
2451619.291866 171.000000 0.000000
2451619.295841 284.000000 0.000000
2451619.300742 195.000000 0.000000
2451619.304742 304.000000 0.000000
2451619.541922 171.000000 0.000000
2451619.545901 284.000000 0.000000
2451619.550847 195.000000 0.000000
2451619.554887 304.000000 0.000000
2451619.791904 171.000000 0.000000
2451619.795864 284.000000 0.000000
2451619.800803 195.000000 0.000000
2451619.804777 304.000000 0.000000
2451620.045849 284.000000 0.000000
2451620.050774 195.000000 0.000000
2451620.054825 304.000000 0.000000
2451620.291910 171.000000 0.000000
2451620.295896 284.000000 0.000000
2451620.300806 195.000000 0.000000
2451620.304840 304.000000 0.000000
2451620.545823 284.000000 0.000000
2451620.550742 195.000000 0.000000
2451620.554778 304.000000 0.000000
2451620.791816 171.000000 0.000000
2451620.795826 284.000000 0.000000
2451620.804787 304.000000 0.000000
2451621.041881 171.000000 0.000000
2451621.045864 284.000000 0.000000
2451621.050785 195.000000 0.000000
2451621.291889 171.000000 0.000000
