# t_obs[JD] solar_distance[m] wavelength[angstrom] unnorm_flux[DN/s] unnorm_flux_unc[DN/s]
2458520.041199 146255864518.000000 171.000000 75593680.414308 94745.401093
2458520.045231 146256027194.000000 284.000000 1478618.627832 94682.670700
2458520.050467 146256027194.000000 195.000000 30191668.412083 94876.440396
2458520.054461 146256192037.000000 304.000000 10665698.937741 95569.170185
2458520.541941 146267471821.000000 171.000000 75217497.075079 97128.382563
2458520.546042 146267632075.000000 284.000000 1428929.665738 96363.785738
2458520.551341 146267632075.000000 195.000000 29936595.459962 97182.530491
2458521.041914 146279212665.000000 171.000000 74261481.501195 97231.696750
2458521.046016 146279375985.000000 284.000000 1408278.543553 96546.774471
2458521.051333 146279375985.000000 195.000000 29104041.981965 97264.406557
2458521.055385 146279535603.000000 304.000000 10470165.625964 97578.544039
2458521.541685 146291087755.000000 171.000000 73517582.560893 97277.868351
2458521.545792 146291254107.000000 284.000000 1386030.781341 96669.622546
2458521.551086 146291254107.000000 195.000000 28982860.583293 97273.261805
2458521.555146 146291416711.000000 304.000000 10477787.340031 97833.017899
2458522.041430 146303092224.000000 171.000000 74737370.320464 97242.779144
2458522.045530 146303255643.000000 284.000000 1389990.889877 96933.811205
2458522.050826 146303255643.000000 195.000000 29389936.080046 97413.115443
2458522.054880 146303427185.000000 304.000000 10497968.758621 97997.207269
2458522.545185 146315396501.000000 284.000000 1407349.231835 97016.249788
2458522.550304 146315396501.000000 195.000000 29430707.313004 97424.545561
2458522.554367 146315565077.000000 304.000000 10623451.003137 98105.872678
2458523.041103 146327489846.000000 171.000000 74880519.359258 97445.189149
2458523.045206 146327664523.000000 284.000000 1388856.826979 97135.123486
2458523.050510 146327664523.000000 195.000000 29624538.228217 97483.262173
2458523.054570 146327836133.000000 304.000000 10564109.835551 98139.325540
2458523.541836 146339885857.000000 171.000000 73406524.504295 97385.765630
2458523.545936 146340057480.000000 284.000000 1430736.641506 97139.131791
2458523.551238 146340057480.000000 195.000000 29782873.404048 97443.432547
2458523.555290 146340231266.000000 304.000000 10585189.021806 98354.219339
2458524.040800 146352398598.000000 171.000000 73707189.114404 97403.613209
2458524.044911 146352567163.000000 284.000000 1423086.353845 97338.024728
2458524.050219 146352567163.000000 195.000000 29966490.555362 97620.828391
2458524.054271 146352749157.000000 304.000000 10704026.930331 98120.704294
2458524.540067 146365030462.000000 171.000000 73351078.740926 97583.098749
2458524.544188 146365212318.000000 284.000000 1435984.499066 97368.189703
2458524.549484 146365212318.000000 195.000000 30199750.886044 97685.390734
2458524.553538 146365385077.000000 304.000000 10604310.510374 97976.551033
2458525.039280 146377781957.000000 171.000000 73177940.474085 97658.648653
2458525.043381 146377960755.000000 284.000000 1419789.953831 97575.322171
2458525.048682 146377960755.000000 195.000000 30444176.763375 97618.703071
2458525.052736 146378141714.000000 304.000000 10450786.634306 98059.646901
2458525.539102 146390655151.000000 171.000000 72697733.872328 97581.328641
2458525.543192 146390835922.000000 284.000000 1431567.003053 97624.697199
2458525.548492 146390835922.000000 195.000000 30373241.610588 97615.357502
2458525.552545 146391013893.000000 304.000000 10458568.969286 98030.314000
