# t_obs[JD] flux_mean[DN/s] flux_stdev[DN/s]
2451817.608330 844.495805 3.453741
2451824.591466 844.540129 3.222978
2451824.607947 844.486418 3.408109
2451831.758356 844.315797 3.176297
2451831.775175 844.292919 3.371750
2451838.591838 844.576680 3.215536
2451838.608342 844.601756 5.103651
2451847.041311 996.809692 8.263907
2451847.044791 859.825928 6.082038
2451847.051622 813.020691 7.668716
2451852.591442 844.233606 4.927758
2451852.607929 844.234974 3.539879
2451859.591458 842.963928 30.623137
2451859.607929 843.213952 37.094039
2451866.591497 840.829748 38.975296
2451866.607927 841.623905 26.627240
2451873.591497 842.384934 6.519239
2451873.607927 842.449163 12.006979
2451887.591262 842.461295 3.637927
2451887.607927 842.447130 3.237375
2451894.591261 841.750243 26.544924
2451894.607929 842.561304 3.579910
2451901.591261 842.696253 3.312873
2451901.607927 842.651609 3.516883
2451908.591684 841.773458 26.490415
2451908.608372 842.584138 4.003366
2451915.591706 842.447676 3.985291
2451915.608348 842.415055 3.677053
2451922.591690 842.314930 4.174033
2451922.608362 842.289684 3.771393
2451929.590819 841.466672 26.503254
2451929.607487 842.330513 3.719281
2451936.596176 842.184656 6.198068
2451936.611005 842.207128 3.150270
2451943.591314 842.169271 3.368593
2451943.607987 842.130254 3.292068
2451948.708204 842.733889 3.986774
2451948.712371 842.710581 3.534526
2451948.716539 843.189419 17.930834
2451948.722093 844.173270 23.586916
2451950.591564 841.063423 26.495729
2451950.608231 841.884953 3.328624
2451957.411154 842.456211 4.173400
2451957.414996 842.660993 14.783998
2451957.418851 843.366108 15.470327
2451957.423829 844.504858 29.652056
2451957.436760 843.023394 4.751667
2451960.971809 935.436123 27.432158
2451960.975262 905.048855 14.069241
2451960.978734 890.605862 10.987519
2451960.989162 937.560165 95.148455
2451960.999584 545.835220 441.538875
2451961.020432 868.759106 39.574212
2451961.041331 862.028946 54.133235
2451961.062006 858.445057 29.993472
2451961.082857 856.815567 64.109300
2451961.103688 854.866005 24.304391
2451961.428559 844.246457 4.909728
2451961.432390 844.459045 10.202901
2451961.436235 845.217382 31.531624
2451961.441206 846.150434 32.281825
2451978.591217 841.098853 26.484106
2451978.607898 841.950808 3.235988
2451985.591691 841.837592 8.263029
2451985.608349 841.812207 5.230088
2451992.591576 841.650260 12.029839
2451992.608250 840.803641 26.527503
2451999.591205 840.800407 26.500092
2451999.607872 840.822691 26.839281
2452006.649837 841.400979 18.064338
2452006.663970 841.440040 6.276352
2452013.591206 841.382391 6.769555
2452013.607872 841.372024 6.593997
2452027.591338 841.264466 3.070888
2452027.607847 841.286461 11.725374
2452034.591701 841.127446 5.398284
2452034.608375 841.170674 5.498422
2452040.330212 841.084874 3.333827
2452040.337995 841.511287 29.148616
2452040.342966 841.410090 38.819728
2452040.450111 841.736128 6.612184
2452043.966430 993.785343 56.531454
2452043.969902 925.454063 24.553523
