# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2452318.295822 12604364.883063 3448812.801185 0 0
2452318.545844 12717952.033823 3477139.188276 0 0
2452318.795321 12792582.146456 3495622.964148 0 0
2452319.045382 12723693.612790 3480342.572292 0 0
2452319.295445 12673450.303683 3469457.306558 0 0
2452319.545333 12571886.137656 3447207.911720 0 0
2452319.795357 12789854.960662 3499482.214871 0 0
2452320.295015 12628267.601314 3463330.646256 0 0
2452320.545048 12717601.145414 3486038.655863 0 0
2452321.044330 12617609.467159 3464421.456006 0 0
2452321.295798 12700706.532190 3485029.094228 0 0
2452321.545736 12617544.439160 3467050.821210 0 0
2452321.795778 12524167.791977 3446022.685234 0 0
2452322.045732 10754934.759735 3034292.345847 0 0
2452322.295733 12375096.555287 3412885.696568 0 0
2452322.545387 12400369.870046 3420464.025131 0 0
2452322.795418 12380774.929932 3416859.142214 0 0
2452323.045451 12602153.156592 3470183.040304 0 0
2452323.295490 12317623.246458 3404011.563798 0 0
2452323.544972 12308668.293028 3403511.271942 0 0
2452323.795000 12201204.104797 3379197.177451 0 0
2452324.045027 12125576.441311 3362403.630262 0 0
2452324.295124 12058726.959489 3347687.411400 0 0
2452324.544975 12341719.355850 3416078.376086 0 0
2452324.794947 12319213.379827 3411826.040082 0 0
2452325.044916 12409296.807387 3434227.659176 0 0
2452325.295728 12269352.408148 3402191.505360 0 0
2452325.545394 12595889.180756 3481233.509690 0 0
2452326.044351 12750004.361782 3520162.013196 0 0
2452326.294195 12743597.623867 3519791.432503 0 0
2452326.544284 12840539.199678 3544582.574694 0 0
2452326.793945 12943860.557132 3570439.109834 0 0
2452327.043961 13010030.322091 3587462.646231 0 0
2452327.293186 12978921.894153 3581228.675927 0 0
2452327.543237 13397417.809065 3683314.717256 0 0
2452327.793219 13329529.201469 3668265.298096 0 0
2452328.043126 13169623.040293 3631122.406276 0 0
2452328.292909 12823009.078334 3549288.378739 0 0
2452328.545692 13115784.522910 3621189.500442 0 0
2452328.795683 12892126.025242 3568785.722695 0 0
2452329.295284 12762649.137786 3540258.438976 0 0
2452329.545074 12616573.091027 3506933.649618 0 0
2452329.794221 12521616.438905 3485450.072870 0 0
2452330.044191 12465286.607065 3473218.494818 0 0
2452330.294250 12682418.225350 3526489.378642 0 0
2452330.543864 12786559.500331 3553152.898379 0 0
2452330.793440 12821858.062685 3562935.750339 0 0
2452331.043488 12856110.625651 3572488.014397 0 0
2452331.295657 12961764.163038 3599273.352648 0 0
2452331.545682 13108737.156208 3636435.463588 0 0
2452331.795786 13370500.510592 3701128.227278 0 0
2452332.045673 13058049.285412 3626925.366404 0 0
2452332.295811 12776640.546188 3560371.617486 0 0
2452332.545710 12912208.633805 3594755.455581 0 0
2452333.045434 12438218.297374 3483204.916118 0 0
2452333.294949 12882560.094577 3591728.968440 0 0
2452333.544948 12368899.358854 3469467.729812 0 0
2452333.794995 12335106.169066 3462675.548904 0 0
2452334.045042 12081904.736698 3403148.628242 0 0
2452334.295073 12085925.018201 3405435.700054 0 0
2452334.545076 12229752.806890 3441594.498877 0 0
2452334.795111 12048386.439443 3399313.278426 0 0
2452335.044936 11920279.502802 3369871.125698 0 0
2452335.294355 11828793.965698 3349235.610299 0 0
2452335.544295 11911981.728944 3370741.918606 0 0
2452335.794254 11824328.368972 3351021.199595 0 0
2452336.044225 11744645.432100 3333222.212429 0 0
2452336.543814 11933838.854325 3381587.442107 0 0
2452336.793857 12022029.297179 3404229.082856 0 0
2452337.043948 12008012.275678 3402238.956447 0 0
2452337.293454 11964227.570718 3393063.528783 0 0
2452337.543163 12049023.107290 3415085.349784 0 0
2452337.792821 12074560.729344 3422679.096269 0 0
2452338.042099 11973846.835840 3399736.964954 0 0
2452338.291690 11925596.645016 3389487.582401 0 0
2452338.545808 11946431.347210 3396076.537820 0 0
2452338.795795 11780671.054361 3357417.637534 0 0
2452339.045788 11893613.138452 3386158.521011 0 0
2452339.295818 11881063.082399 3384559.071169 0 0
2452339.795808 12048741.506966 3428221.462027 0 0
