# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2452428.294607 12832883.442967 100070.336135 0 0
2452428.544707 12930222.452662 100089.830173 0 0
2452428.794614 12749850.178349 100088.788628 0 0
2452429.045721 12461769.043315 100086.758126 0 0
2452429.295694 12511864.848635 100057.904195 0 0
2452429.545759 12432231.805789 100075.149739 0 0
2452429.795706 12324854.224810 100073.360952 0 0
2452430.045760 12496423.152875 100074.773660 0 0
2452430.295740 12479512.814020 100075.312470 0 0
2452430.795745 12080254.426938 100090.403969 0 0
2452431.045760 11934414.416765 100089.721674 0 0
2452431.295751 11855932.734472 100089.426009 0 0
2452431.545754 11923558.513479 100107.072555 0 0
2452431.795739 12165783.816054 100106.026091 0 0
2452432.045774 12024703.435201 100105.110057 0 0
2452432.545737 11740707.789957 101352.848252 0 0
2452432.795736 11867596.085882 101353.581818 0 0
2452433.045772 11888568.608514 101354.349561 0 0
2452433.295759 11847221.160538 101359.244772 0 0
2452433.545758 11932622.821537 101382.569262 0 0
2452433.795737 11957089.549882 101383.592216 0 0
2452434.045733 11938153.104859 101382.737382 0 0
2452434.295737 11969812.621837 101383.419282 0 0
2452434.545766 12053929.674908 101400.755513 0 0
2452434.795738 12023094.367832 101400.431819 0 0
2452435.045771 12159909.034871 101401.176784 0 0
2452435.295772 11926550.103586 101399.537270 0 0
2452435.545740 11905896.525795 101431.833349 0 0
2452435.795738 11850036.033876 101425.808440 0 0
2452436.045759 11834050.108564 101425.386496 0 0
2452436.295746 11668603.163556 101423.497448 0 0
2452436.545753 11811487.957931 101438.289943 0 0
2452436.795782 11638186.727999 101437.620249 0 0
2452437.045735 11696153.334305 101437.612694 0 0
2452437.295735 11529048.043727 101406.407643 0 0
2452437.545766 11357029.072187 101247.665014 0 0
2452438.045748 11096571.599793 101244.344935 0 0
2452438.295746 10936985.868664 101242.502609 0 0
2452438.545744 10840729.786057 101433.798715 0 0
2452438.795734 10752385.992261 101387.458824 0 0
2452439.066578 10637685.688398 101386.332217 0 0
2452439.295730 10451391.722308 106087.863830 0 0
2452439.566568 10538269.905090 105957.836175 0 0
2452440.045745 10785090.326902 101242.019675 0 0
2452440.243665 10621606.591546 101242.638864 1 0
2452444.477720 11295189.106437 101312.572356 0 1
2452444.545739 11244148.910131 101207.152942 0 0
2452444.795752 11070485.794720 101255.733263 0 0
2452445.045762 11153651.303252 101256.062691 0 0
2452445.295752 11274504.520557 101257.218127 0 0
2452445.545751 11436859.851141 101268.454945 0 0
2452445.795742 11466183.552457 101267.642736 0 0
2452446.045736 11517959.987434 101268.123058 0 0
2452446.307327 11490355.563264 101268.988322 0 0
2452446.545753 11598870.911340 101277.747670 0 0
2452446.795784 11578376.815035 101259.836279 0 0
2452447.045741 11504149.206565 101259.507036 0 0
2452447.295768 11262593.471374 101231.552601 0 0
2452447.545758 11474076.778192 101220.723656 0 0
2452447.795775 11645361.135745 101221.987723 0 0
2452448.045752 11684183.385459 101222.809607 0 0
2452448.545748 11464833.503853 101232.704603 0 0
2452448.795746 11648545.933882 101233.744626 0 0
2452449.045753 11534288.035479 101272.830948 0 0
2452449.295746 11597848.898227 101273.047684 0 0
2452449.545746 11514312.516083 101198.383716 0 0
2452450.045749 11418341.305981 101196.745476 0 0
2452450.295769 11610164.606578 101199.082263 0 0
2452450.545761 11501332.295781 101204.811278 0 0
2452450.795750 11335497.272201 101203.943578 0 0
2452451.045741 11203893.870781 101202.702505 0 0
2452451.295750 11151337.594242 101194.601395 0 0
2452451.545761 11155900.668989 101154.454083 0 0
2452451.795740 11154248.998008 101154.502864 0 0
2452452.295738 11231868.012486 101144.963267 0 0
